ITS2 type profile UID	Clade	Majority ITS2 sequence	Associated species	ITS2 profile abundance local	ITS2 profile abundance DB	ITS2 type profile	Sequence accession / SymPortal UID	Average defining sequence proportions and [stdev]
371130	A	A1ee/A1	None	22	46	A1/A1ee		0.597[0.068]/0.403[0.068]
374626	A	A1ee/A1	None	22	32	A1/A1ee-A1ep-A1eq	1847/883-1480-1474	0.571[0.102]/0.408[0.094]-0.011[0.007]-0.010[0.004]
371295	A	A1	None	2	75	A1/A1gb-A1ee	883-1847-59904	0.538[0.034]-0.444[0.041]-0.018[0.007]
373658	C	C15	None	87	89	C15-C15kl-C15he-C15vz	517-14272-714-560550	0.927[0.027]-0.032[0.018]-0.026[0.005]-0.015[0.008]
373007	C	C42g/C1	None	55	132	C42g/C1/C42.2/C42a-C42h-C1b-C42b-C1ew-C42br	211/2-1-82-212-4-83-93-213	0.423[0.116]/0.144[0.044]-0.131[0.030]-0.087[0.024]-0.062[0.011]-0.051[0.015]-0.037[0.006]-0.033[0.006]-0.032[0.007]
372407	C	C1d	None	39	150	C1d-C42.2-C1-C1k-C1b-C3cg	106-1-2-109-4-108	0.558[0.044]-0.256[0.022]-0.089[0.020]-0.042[0.007]-0.029[0.008]-0.026[0.008]
372013	C	C15	None	26	281	C15-C15l-C15n-C15bb-C15.8	517-518-519-522-534	0.823[0.022]-0.078[0.011]-0.053[0.008]-0.031[0.006]-0.015[0.007]
372441	C	C1d	None	23	127	C1d/C42.2/C1/C3cg-C1b-C3cw-C115k-C45c	106-1-2-108-4-112-5-117	0.484[0.071]-0.260[0.022]-0.126[0.029]-0.042[0.018]-0.039[0.008]-0.025[0.013]-0.014[0.004]-0.010[0.003]
372784	C	C1/C42g	None	21	388	C1/C42.2/C42g/C42a-C1b-C1au-C1az-C3-C42h	2/211-1-82-4-214-212-20-32	0.223[0.035]/0.222[0.107]-0.177[0.033]-0.128[0.034]-0.086[0.018]-0.044[0.011]-0.043[0.017]-0.042[0.008]-0.034[0.006]
372445	C	C1d	None	20	705	C1d/C1/C42.2/C3-C1b-C3cg-C45c-C115k-C1au-C41p	106-1-2-4-108-5-117-20-32-118	0.500[0.063]-0.201[0.040]-0.152[0.039]-0.046[0.014]-0.038[0.012]-0.016[0.005]-0.014[0.004]-0.012[0.004]-0.011[0.004]-0.010[0.004]
372514	C	C15	None	18	24	C15-C15l-C15bm-C15n	517-520-518-519	0.836[0.007]-0.060[0.010]-0.058[0.007]-0.046[0.007]
372712	C	C3	None	15	156	C3/C115d	32-358	0.672[0.078]-0.328[0.078]
373659	C	C15	None	10	10	C15-C15wa-C15kl-C15he-C15vz	517-253513-14272-714-560550	0.852[0.069]-0.047[0.033]-0.034[0.017]-0.033[0.015]-0.033[0.016]
373337	C	C3/C3u	None	8	32	C3/C3u/C115/C3fq-C3wm	32/1330-20866-335601-66044	0.446[0.154]-0.227[0.099]/0.127[0.099]-0.110[0.085]-0.090[0.059]
373107	C	C15	None	6	17	C15/C15ev	517-4073	0.965[0.011]-0.035[0.011]
372367	C	C42b/C42.2	None	5	127	C42a/C42.2/C1/C42b-C1b-C1az-C1au-C3	83/1-82-2-4-20-32-214	0.318[0.105]-0.179[0.028]-0.151[0.027]/0.151[0.043]-0.080[0.009]-0.061[0.007]-0.031[0.004]-0.029[0.005]
372476	C	C42a	None	5	120	C42a/C42.2/C1/C1b-C1j-C1au-C3	82-4-1-2-15-20-32	0.552[0.030]-0.178[0.005]-0.124[0.018]-0.097[0.008]-0.025[0.004]-0.012[0.005]-0.012[0.005]
